cohort_month,0,1,2,3,4,5,6,7,8,9,10,11
2017-06,4.724414236282748,0.4853287197231834,0.43763717251606526,0.9546712802768166,1.0225308947108254,0.7355017301038063,0.9504399406821552,0.5815916955017301,0.5532130499258527,0.605788433020267,0.5712605042016807,0.25685615422639646
2017-07,6.010218408736349,0.335210608424337,0.6235309412376495,0.3589755590223609,0.17679147165886636,0.15604784191367654,0.12020800832033281,0.1418200728029121,0.16123244929797192,0.14714508580343214,0.1556734269370775,
2017-08,5.276518248175182,0.471992700729927,0.45848175182481754,0.3912773722627737,0.49405109489051097,0.28354014598540145,0.21066423357664235,0.405007299270073,0.2922116788321168,0.187978102189781,,
2017-09,5.6445292522278185,1.1175862068965516,0.5209298721425804,3.975792328554824,0.4005579232855482,0.647067028283611,0.7016079039132119,0.2431499418829911,0.1840061991476172,,,
2017-10,5.0037327188940095,0.5357626728110599,0.19139400921658986,0.15714516129032258,0.15155990783410137,0.12036175115207373,0.08481566820276498,0.11547004608294931,,,,
2017-11,5.154682675814751,0.39923303111982356,0.19955648125459446,0.324952217593727,0.1480127419750061,0.053878951237441804,0.11492771379563832,,,,,
2017-12,4.73819073693817,0.26037417294090803,0.9250969655487109,1.0652749258498746,0.3129295003422313,0.33804699977184577,,,,,,
2018-01,4.135635932404388,0.294758375333531,0.30428105544026096,0.1427779424844352,0.06269789504891787,,,,,,,
2018-02,4.156987126814571,0.27827444535743634,0.0785154752122706,0.07414407011777595,,,,,,,,
2018-03,4.838802717237476,0.300891593546561,0.3155590150014152,,,,,,,,,
2018-04,4.657596660808436,0.5315992970123024,,,,,,,,,,
2018-05,4.660562248995984,,,,,,,,,,,
2018-06,3.42,,,,,,,,,,,
